1   Crops, Mixed Farming    254,192,197
2	Short Grass
3	Evergreen Needleleaf Trees
4	Deciduous Needleleaf Trees
5	Deciduous Broadleaf Trees
6	Evergreen Broadleaf Trees
7	Tall Grass
8	Desert
9	Tundra
10	Irrigated Crops
11	Semidesert
12	Ice Caps and Glaciers
13	Bogs and Marshes
14	Inland Water
15	Ocean
16	Evergreen Shrubs
17	Deciduous Shrubs
18	Mixed Forest
19	Forest/Field Mosaic
20	Water and Land Mixtures
100	NO DATA
